user_id,company_name,signup_date,plan,monthly_fee,customer_status,last_login,total_revenue_generated,ticket_id,issue_type,priority,submission_date,resolution_date,ticket_status,feedback_score,ticket_resolution_time
1,"Gray, Baker and Andrade",2024-06-18,Starter,47,Active,2024-11-14,799,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
2,Salas Ltd,2023-07-05,Enterprise,199,Active,2024-06-08,4577,153,Login Issues,Low,2024-10-30,2024-11-03,In Progress,0.0,4.0
3,Ferguson-Patterson,2023-12-14,Enterprise,199,Canceled,2024-05-12,1194,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
4,Frey-Le,2023-03-15,Professional,97,Canceled,2023-06-16,1067,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
5,"Smith, Lindsey and Green",2023-06-18,Enterprise,199,Canceled,2024-03-10,1194,948,Billing Query,Medium,2024-12-03,,Open,0.0,0.0
6,Brown Ltd,2024-11-25,Starter,47,Active,2024-12-27,940,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
7,Johnson Group,2024-12-30,Enterprise,199,Canceled,2025-01-17,995,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
8,"Buck, Rivera and Boyle",2023-07-14,Professional,97,Canceled,2024-03-01,1164,832,Login Issues,High,2024-12-26,2025-01-05,Resolved,4.0,10.0
9,"Allen, Thomas and Jones",2024-01-18,Starter,47,Active,2024-08-14,987,633,Feature Request,Low,2024-10-07,2024-10-27,In Progress,0.0,20.0
10,Young-Fernandez,2023-06-24,Starter,47,Active,2024-06-18,282,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
11,Hill PLC,2023-05-14,Professional,97,Active,2023-09-29,2231,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
12,Mann PLC,2023-05-08,Starter,47,Canceled,2024-10-14,470,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
13,"Hernandez, Thomas and Gates",2025-01-31,Starter,47,Canceled,2025-01-31,470,18,Login Issues,Medium,2024-10-19,2024-10-26,Resolved,2.0,7.0
14,Marshall-Barber,2023-05-27,Enterprise,199,Active,2024-11-02,1592,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
15,"Wilkerson, Patterson and Fisher",2023-07-23,Professional,97,Canceled,2024-04-15,97,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
16,"Dalton, Montgomery and Henderson",2025-02-01,Starter,47,Active,2025-02-02,282,743,Login Issues,Medium,2025-01-20,,Open,0.0,0.0
17,Nguyen-Murphy,2023-05-01,Enterprise,199,Canceled,2024-07-24,1791,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
18,Hill LLC,2024-09-11,Professional,97,Active,2024-12-17,2037,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
19,"Taylor, Lopez and Frye",2023-09-27,Professional,97,Active,2024-10-02,1164,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
20,Mitchell PLC,2023-03-19,Enterprise,199,Active,2024-10-12,1990,668,Technical Issue,Low,2024-11-23,2024-12-13,Resolved,3.0,20.0
21,"Kaufman, Holt and Johnson",2023-08-30,Enterprise,199,Active,2023-10-18,796,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
22,"Moore, Adams and Rodriguez",2024-01-14,Starter,47,Canceled,2024-12-06,188,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
23,Young-Ryan,2023-07-10,Starter,47,Canceled,2024-02-15,376,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
24,Rojas PLC,2023-08-18,Enterprise,199,Canceled,2025-01-08,398,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
25,"Phillips, Edwards and Schultz",2024-02-09,Enterprise,199,Canceled,2024-02-18,1791,653,Other,Medium,2024-12-31,2025-01-27,Resolved,4.0,27.0
25,"Phillips, Edwards and Schultz",2024-02-09,Enterprise,199,Canceled,2024-02-18,1791,906,Billing Query,Medium,2025-02-02,,Open,0.0,0.0
26,Carroll and Sons,2023-12-11,Professional,97,Canceled,2024-05-02,1164,359,Other,High,2024-07-12,2024-08-11,Resolved,3.0,30.0
26,Carroll and Sons,2023-12-11,Professional,97,Canceled,2024-05-02,1164,519,Login Issues,Medium,2024-03-02,,Open,0.0,0.0
26,Carroll and Sons,2023-12-11,Professional,97,Canceled,2024-05-02,1164,854,Billing Query,High,2024-09-20,,Open,0.0,0.0
27,Logan LLC,2024-05-28,Professional,97,Active,2025-01-14,1067,430,Technical Issue,High,2024-05-06,,Open,0.0,0.0
28,Galloway and Sons,2024-04-26,Professional,97,Canceled,2024-09-28,582,47,Feature Request,Medium,2024-02-05,2024-02-08,Resolved,1.0,3.0
29,Logan Group,2024-05-22,Professional,97,Active,2024-09-01,388,807,Other,Medium,2024-10-31,,Open,0.0,0.0
30,Goodwin-Moore,2023-06-28,Enterprise,199,Canceled,2023-09-14,1791,946,Technical Issue,Low,2024-10-04,2024-10-28,In Progress,0.0,24.0
31,"Reese, Ortega and Randolph",2024-08-29,Enterprise,199,Active,2024-11-26,3582,861,Login Issues,Medium,2025-01-07,2025-01-20,Resolved,1.0,13.0
32,York-Johnson,2023-07-18,Professional,97,Canceled,2023-12-23,97,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
33,"Sullivan, Wright and Anderson",2023-05-25,Enterprise,199,Active,2024-11-20,2587,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
34,"Perry, Chen and Blackwell",2024-05-29,Enterprise,199,Active,2024-06-25,2189,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
